text,author
Tomorrow is the most important thing in life. Comes into us at midnight very clean. It's perfect when it arrives and it puts itself in our hands. It hopes we've learned something from yesterday.,John Wayne
Courage is being scared to death... and saddling up anyway.,John Wayne
Tomorrow hopes we have learned something from yesterday.,John Wayne
"Talk low, talk slow and don't say too much.",John Wayne
Nobody should come to the movies unless he believes in heroes.,John Wayne
"All the screen cowboys behaved like real gentlemen. They didn't drink, they didn't smoke. When they knocked the bad guy down, they always stood with their fists up, waiting for the heavy to get back on his feet. I decided I was going to drag the bad guy to his feet and keep hitting him.",John Wayne
I'm not the sort to back away from a fight. I don't believe in shrinking from anything. It's not my speed; I'm a guy who meets adversities head on.,John Wayne
Get off your butt and join the Marines!,John Wayne
"I suppose my best attribute, if you want to call it that, is sincerity. I can sell sincerity because that's the way I am.",John Wayne
"When I was a sophomore at USC, I was a socialist, pretty much to the left. But not when I left the university. I quickly got wise. I'd read about what had happened to Russia in 1917 when the Communists took over.",John Wayne
"I never have really become accustomed to the 'John.' Nobody ever really calls me John... I've always been Duke or Marion or John Wayne. It's a name that goes well together, and it's like one word - John Wayne.",John Wayne
"I'd read up on the history of our country and I'd become fascinated with the story of the Alamo. To me it represented the fight for freedom, not just in America, but in all countries.",John Wayne
"Everybody that I was in school with had an uncle or father in the law, and I started to realize that I was going to end up writing briefs for about ten years for these fellows who I thought I was smarter than. And I was kind of losing my feeling for that.",John Wayne
"I don't feel we did wrong in taking this great country away from them. There were great numbers of people who needed new land, and the Indians were selfishly trying to keep it for themselves.",John Wayne
"I was sure I'd set the world on fire, and it was hard for a young feller like me to realize the truth - that I hadn't set the world on fire, and I was totally unprepared to handle the consequences if 'The Big Trail' had been a success and launched me as a star.",John Wayne
I've loved reading all my life.,John Wayne
I was ashamed to admit I was hipped to the idea of acting. That's why I started in with the props.,John Wayne
All I'm for is the liberty of the individual.,John Wayne
Get off your horse and drink your milk.,John Wayne
Nothing is so discouraging to an actor than to have to work for long hours upon hours in brightly lighted interior sets.,John Wayne
"If everything isn't black and white, I say, 'Why the hell not?'",John Wayne
My folks always let me go to the movies every Saturday. We were really motion-picture goers.,John Wayne
"When you come to see a picture of mine, I want you to know that I'm not going to do anything that will make you uncomfortable. I want you to know that you won't be disappointed in me.",John Wayne
"Real art is basic emotion. If a scene is handled with simplicity - and I don't mean simple - it'll be good, and the public will know it.",John Wayne
"In westerns, you meet a hardy bunch of characters. There is no jealousy on such pictures.",John Wayne
"Throughout life people will make you mad, disrespect you and treat you bad. Let God deal with the things they do, cause hate in your heart will consume you too.",Will Smith
I've always considered myself to be just average talent and what I have is a ridiculous insane obsessiveness for practice and preparation.,Will Smith
"I have a great time with my life, and I wanna share it.",Will Smith
The first step is you have to say that you can.,Will Smith
"If you're not willing to work hard, let someone else do it. I'd rather be with someone who does a horrible job, but gives 110% than with someone who does a good job and gives 60%.",Will Smith
"Whatever your dream is, every extra penny you have needs to be going to that.",Will Smith
"We all want to be in love and find that person who is going to love us no matter how our feet smell, no matter how angry we get one day, no matter the things we say that we don't mean.",Will Smith
Traditional education is based on facts and figures and passing tests - not on a comprehension of the material and its application to your life.,Will Smith
"And where I excel is ridiculous, sickening, work ethic. You know, while the other guy's sleeping? I'm working.",Will Smith
"For me, there is nothing more valuable than how people feel in a movie theater about a movie.",Will Smith
"I'm a student of patterns. At heart, I'm a physicist. I look at everything in my life as trying to find the single equation, the theory of everything.",Will Smith
"In my mind, I've always been an A-list Hollywood superstar. Y'all just didn't know yet.",Will Smith
"There's so much negative imagery of black fatherhood. I've got tons of friends that are doing the right thing by their kids, and doing the right thing as a father - and how come that's not as newsworthy?",Will Smith
"When you create art, the world has to wait.",Will Smith
"I was raised in a Baptist household, went to a Catholic church, lived in a Jewish neighborhood, and had the biggest crush on the Muslim girls from one neighborhood over.",Will Smith
Life is lived on the edge.,Will Smith
I've trained myself to illuminate the things in my personality that are likable and to hide and protect the things that are less likeable.,Will Smith
I would have absolutely messed up 'The Matrix'.,Will Smith
"I know how to learn anything I want to learn. I absolutely know that I could learn how to fly the space shuttle because someone else knows how to fly it, and they put it in a book. Give me the book, and I do not need somebody to stand up in front of the class.",Will Smith
"I've viewed myself as slightly above average in talent. And where I excel is ridiculous, sickening work ethic.",Will Smith
I want the world to be better because I was here.,Will Smith
"So if you stay ready, you ain't gotta get ready, and that is how I run my life.",Will Smith
"I don't know what my calling is, but I want to be here for a bigger reason. I strive to be like the greatest people who have ever lived.",Will Smith
The things that have been most valuable to me I did not learn in school.,Will Smith
Money and success don't change people; they merely amplify what is already there.,Will Smith
"I mean, I'm very serious with my kids about them comprehending the intricacies of global finance.",Will Smith
"If you always put limit on everything you do, physical or anything else. It will spread into your work and into your life. There are no limits. There are only plateaus, and you must not stay there, you must go beyond them.",Bruce Lee
"Always be yourself, express yourself, have faith in yourself, do not go out and look for a successful personality and duplicate it.",Bruce Lee
"Love is like a friendship caught on fire. In the beginning a flame, very pretty, often hot and fierce, but still only light and flickering. As love grows older, our hearts mature and our love becomes as coals, deep-burning and unquenchable.",Bruce Lee
"Mistakes are always forgivable, if one has the courage to admit them.",Bruce Lee
A wise man can learn more from a foolish question than a fool can learn from a wise answer.,Bruce Lee
"Knowledge will give you power, but character respect.",Bruce Lee
"Ever since I was a child I have had this instinctive urge for expansion and growth. To me, the function and duty of a quality human being is the sincere and honest development of one's potential.",Bruce Lee
"Notice that the stiffest tree is most easily cracked, while the bamboo or willow survives by bending with the wind.",Bruce Lee
"I fear not the man who has practiced 10,000 kicks once, but I fear the man who has practiced one kick 10,000 times.",Bruce Lee
"A goal is not always meant to be reached, it often serves simply as something to aim at.",Bruce Lee
"If you spend too much time thinking about a thing, you'll never get it done.",Bruce Lee
"If you love life, don't waste time, for time is what life is made up of.",Bruce Lee
"To me, the extraordinary aspect of martial arts lies in its simplicity. The easy way is also the right way, and martial arts is nothing at all special; the closer to the true way of martial arts, the less wastage of expression there is.",Bruce Lee
The key to immortality is first living a life worth remembering.,Bruce Lee
Take things as they are. Punch when you have to punch. Kick when you have to kick.,Bruce Lee
I'm not in this world to live up to your expectations and you're not in this world to live up to mine.,Bruce Lee
Showing off is the fool's idea of glory.,Bruce Lee
"As you think, so shall you become.",Bruce Lee
"Man, the living creature, the creating individual, is always more important than any established style or system.",Bruce Lee
A quick temper will make a fool of you soon enough.,Bruce Lee
"The less effort, the faster and more powerful you will be.",Bruce Lee
To know oneself is to study oneself in action with another person.,Bruce Lee
Take no thought of who is right or wrong or who is better than. Be not for or against.,Bruce Lee
To hell with circumstances; I create opportunities.,Bruce Lee
You just wait. I'm going to be the biggest Chinese Star in the world.,Bruce Lee
It's not the daily increase but daily decrease. Hack away at the unessential.,Bruce Lee
"Your work is going to fill a large part of your life, and the only way to be truly satisfied is to do what you believe is great work. And the only way to do great work is to love what you do. If you haven't found it yet, keep looking. Don't settle. As with all matters of the heart, you'll know when you find it.",Steve Jobs
"Your time is limited, so don't waste it living someone else's life. Don't be trapped by dogma - which is living with the results of other people's thinking. Don't let the noise of others' opinions drown out your own inner voice. And most important, have the courage to follow your heart and intuition.",Steve Jobs
Great things in business are never done by one person. They're done by a team of people.,Steve Jobs
"You can't connect the dots looking forward; you can only connect them looking backwards. So you have to trust that the dots will somehow connect in your future. You have to trust in something - your gut, destiny, life, karma, whatever. This approach has never let me down, and it has made all the difference in my life.",Steve Jobs
"Technology is nothing. What's important is that you have a faith in people, that they're basically good and smart, and if you give them tools, they'll do wonderful things with them.",Steve Jobs
"Creativity is just connecting things. When you ask creative people how they did something, they feel a little guilty because they didn't really do it, they just saw something. It seemed obvious to them after a while. That's because they were able to connect experiences they've had and synthesize new things.",Steve Jobs
"Remembering that I'll be dead soon is the most important tool I've ever encountered to help me make the big choices in life. Because almost everything - all external expectations, all pride, all fear of embarrassment or failure - these things just fall away in the face of death, leaving only what is truly important.",Steve Jobs
"That's been one of my mantras - focus and simplicity. Simple can be harder than complex: You have to work hard to get your thinking clean to make it simple. But it's worth it in the end because once you get there, you can move mountains.",Steve Jobs
Innovation distinguishes between a leader and a follower.,Steve Jobs
"Design is a funny word. Some people think design means how it looks. But of course, if you dig deeper, it's really how it works.",Steve Jobs
"For the past 33 years, I have looked in the mirror every morning and asked myself: 'If today were the last day of my life, would I want to do what I am about to do today?' And whenever the answer has been 'No' for too many days in a row, I know I need to change something.",Steve Jobs
Be a yardstick of quality. Some people aren't used to an environment where excellence is expected.,Steve Jobs
My favorite things in life don't cost any money. It's really clear that the most precious resource we all have is time.,Steve Jobs
"Innovation has nothing to do with how many R & D dollars you have. When Apple came up with the Mac, IBM was spending at least 100 times more on R & D. It's not about money. It's about the people you have, how you're led, and how much you get it.",Steve Jobs
It's not a faith in technology. It's faith in people.,Steve Jobs
"What is Apple, after all? Apple is about people who think 'outside the box,' people who want to use computers to help them change the world, to help them create things that make a difference, and not just to get a job done.",Steve Jobs
"No one wants to die. Even people who want to go to heaven don't want to die to get there. And yet death is the destination we all share. No one has ever escaped it. And that is as it should be, because Death is very likely the single best invention of Life. It is Life's change agent. It clears out the old to make way for the new.",Steve Jobs
Remembering that you are going to die is the best way I know to avoid the trap of thinking you have something to lose. You are already naked. There is no reason not to follow your heart.,Steve Jobs
"Sometimes when you innovate, you make mistakes. It is best to admit them quickly, and get on with improving your other innovations.",Steve Jobs
Sometimes life hits you in the head with a brick. Don't lose faith.,Steve Jobs
"A lot of people in our industry haven't had very diverse experiences. So they don't have enough dots to connect, and they end up with very linear solutions without a broad perspective on the problem. The broader one's understanding of the human experience, the better design we will have.",Steve Jobs
The reason that Apple is able to create products like the iPad is because we've always tried to be at the intersection of technology and the liberal arts.,Steve Jobs
"Computers themselves, and software yet to be developed, will revolutionize the way we learn.",Steve Jobs
"If you haven't found it yet, keep looking. Don't settle. As with all matters of the heart, you'll know when you find it. And, like any great relationship, it just gets better and better as the years roll on.",Steve Jobs
If you're gonna make connections which are innovative... you have to not have the same bag of experiences as everyone else does.,Steve Jobs
"You can't just ask customers what they want and then try to give that to them. By the time you get it built, they'll want something new.",Steve Jobs
"There are no secrets to success. It is the result of preparation, hard work, and learning from failure.",Colin Powell
Happiness does not come from doing easy work but from the afterglow of satisfaction that comes after the achievement of a difficult task that demanded our best.,Theodore Isaac Rubin
"If people like you, they'll listen to you, but if they trust you, they'll do business with you.",Zig Ziglar
"Do what you love to do and give it your very best. Whether it's business or baseball, or the theater, or any field. If you don't love what you're doing and you can't give it your best, get out of it. Life is too short. You'll be an old man before you know it.",Al Lopez
"Whenever you find yourself on the side of the majority, it is time to pause and reflect.",Mark Twain
The golden rule for every business man is this: 'Put yourself in your customer's place.',Orison Swett Marden
"Business underlies everything in our national life, including our spiritual life. Witness the fact that in the Lord's Prayer, the first petition is for daily bread. No one can worship God or love his neighbor on an empty stomach.",Woodrow Wilson
"The entrepreneur always searches for change, responds to it, and exploits it as an opportunity.",Peter Drucker
"Many people dream about being an entrepreneur, starting their own business, working for themselves, and living the good life. Very few, however, will actually take the plunge and put everything they've got into being their own boss.",Fabrizio Moreira
"Good business leaders create a vision, articulate the vision, passionately own the vision, and relentlessly drive it to completion.",Jack Welch
"After you have exhausted what there is in business, politics, conviviality, and so on - have found that none of these finally satisfy, or permanently wear - what remains? Nature remains.",Walt Whitman
"Ethics or simple honesty is the building blocks upon which our whole society is based, and business is a part of our society, and it's integral to the practice of being able to conduct business, that you have a set of honest standards.",Kerry Stokes
"When a team takes ownership of its problems, the problem gets solved. It is true on the battlefield, it is true in business, and it is true in life.",Jocko Willink
"Infuse your life with action. Don't wait for it to happen. Make it happen. Make your own future. Make your own hope. Make your own love. And whatever your beliefs, honor your creator, not by passively waiting for grace to come down from upon high, but by doing what you can to make grace happen... yourself, right now, right down here on Earth.",Bradley Whitford
"Good, better, best. Never let it rest. 'Til your good is better and your better is best.",St. Jerome
Life is 10% what happens to you and 90% how you react to it.,Charles R. Swindoll
"You are not here merely to make a living. You are here in order to enable the world to live more amply, with greater vision, with a finer spirit of hope and achievement. You are here to enrich the world, and you impoverish yourself if you forget the errand.",Woodrow Wilson
Only I can change my life. No one can do it for me.,Carol Burnett
"Do not wait; the time will never be 'just right.' Start where you stand, and work with whatever tools you may have at your command, and better tools will be found as you go along.",George Herbert
We should not give up and we should not allow the problem to defeat us.,A. P. J. Abdul Kalam
The secret of getting ahead is getting started.,Mark Twain
With the new day comes new strength and new thoughts.,Eleanor Roosevelt
Our greatest weakness lies in giving up. The most certain way to succeed is always to try just one more time.,Thomas A. Edison
"Consult not your fears but your hopes and your dreams. Think not about your frustrations, but about your unfulfilled potential. Concern yourself not with what you tried and failed in, but with what it is still possible for you to do.",Pope John XXIII
Do the difficult things while they are easy and do the great things while they are small. A journey of a thousand miles must begin with a single step.,Lao Tzu
Start where you are. Use what you have. Do what you can.,Arthur Ashe
The most beautiful thing we can experience is the mysterious. It is the source of all true art and science.,Albert Einstein
Science is a beautiful gift to humanity; we should not distort it.,A. P. J. Abdul Kalam
"Success is a science; if you have the conditions, you get the result.",Oscar Wilde
"Only two things are infinite, the universe and human stupidity, and I'm not sure about the former.",Albert Einstein
"We live in a society exquisitely dependent on science and technology, in which hardly anyone knows anything about science and technology.",Carl Sagan
